categorical_feature,feature variable,n_samples,precision,recall,fbeta
sex, Female,2158,0.9253731343283582,0.5061224489795918,0.6543535620052771
categorical_feature,feature variable,n_samples,precision,recall,fbeta
native-country, United-States,5835,0.8294177732379979,0.5631067961165048,0.6707971912432878
native-country, Thailand,7,1.0,1.0,1.0
native-country, China,14,0.75,0.75,0.75
native-country, Nicaragua,11,0.0,0.0,0.0
native-country, Mexico,111,0.5,0.3333333333333333,0.4
native-country, Canada,28,0.5,0.2,0.28571428571428575
native-country, South,12,1.0,0.3333333333333333,0.5
native-country, ?,125,0.8125,0.8125,0.8125
native-country, India,18,0.7,1.0,0.8235294117647058
native-country, Italy,13,1.0,0.75,0.8571428571428571
native-country, Portugal,7,1.0,0.0,0.0
native-country, Vietnam,15,1.0,0.0,0.0
native-country, Puerto-Rico,22,1.0,1.0,1.0
native-country, Dominican-Republic,12,1.0,1.0,1.0
native-country, El-Salvador,21,1.0,1.0,1.0
native-country, Germany,28,1.0,0.5714285714285714,0.7272727272727273
native-country, Philippines,41,0.6666666666666666,0.6666666666666666,0.6666666666666666
native-country, England,22,0.75,0.42857142857142855,0.5454545454545454
native-country, Yugoslavia,8,1.0,0.5,0.6666666666666666
native-country, Poland,12,0.5,1.0,0.6666666666666666
native-country, Jamaica,21,1.0,1.0,1.0
native-country, Outlying-US(Guam-USVI-etc),4,1.0,1.0,1.0
native-country, Scotland,4,1.0,1.0,1.0
native-country, Cambodia,3,1.0,1.0,1.0
native-country, Iran,12,0.25,0.3333333333333333,0.28571428571428575
native-country, Columbia,11,1.0,1.0,1.0
native-country, Haiti,8,1.0,1.0,1.0
native-country, Guatemala,21,1.0,0.5,0.6666666666666666
native-country, Taiwan,7,0.75,1.0,0.8571428571428571
native-country, Ecuador,3,1.0,0.0,0.0
native-country, Cuba,12,1.0,0.5,0.6666666666666666
native-country, Greece,4,1.0,1.0,1.0
native-country, Japan,16,0.8,0.5714285714285714,0.6666666666666666
native-country, France,2,0.0,1.0,0.0
native-country, Hungary,2,1.0,0.0,0.0
native-country, Honduras,3,1.0,1.0,1.0
native-country, Trinadad&Tobago,4,1.0,1.0,1.0
native-country, Peru,7,1.0,1.0,1.0
native-country, Hong,3,1.0,1.0,1.0
native-country, Ireland,2,1.0,1.0,1.0
native-country, Laos,2,1.0,1.0,1.0
